date,interest
2020-01-01,1077
2020-01-02,1479
2020-01-03,1395
2020-01-04,1469
2020-01-05,1377
2020-01-06,1214
2020-01-07,1132
2020-01-08,1549
2020-01-09,1452
2020-01-10,1478
2020-01-11,1669
2020-01-12,1611
2020-01-13,1326
2020-01-14,1264
2020-01-15,1525
2020-01-16,1436
2020-01-17,1482
2020-01-18,1644
2020-01-19,1645
2020-01-20,1458
2020-01-21,1368
2020-01-22,1461
2020-01-23,1402
2020-01-24,1472
2020-01-25,1651
2020-01-26,1599
2020-01-27,1314
2020-01-28,1295
2020-01-29,1464
2020-01-30,1416
2020-01-31,1462
2020-02-01,1626
2020-02-02,1630
2020-02-03,1343
2020-02-04,1345
2020-02-05,836
2020-02-06,775
2020-02-07,809
2020-02-08,915
2020-02-09,943
2020-02-10,887
2020-02-11,785
2020-02-12,1424
2020-02-13,1364
2020-02-14,1409
2020-02-15,1657
2020-02-16,1604
2020-02-17,1426
2020-02-18,1351
2020-02-19,1523
2020-02-20,1468
2020-02-21,1574
2020-02-22,1711
2020-02-23,1702
2020-02-24,731
2020-02-25,0
2020-02-26,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,614
2020-03-18,1529
2020-03-19,1469
2020-03-20,1460
2020-03-21,1672
2020-03-22,1635
2020-03-23,1406
2020-03-24,1426
2020-03-25,1435
2020-03-26,1387
2020-03-27,1450
2020-03-28,1633
2020-03-29,1662
2020-03-30,1458
2020-03-31,1456
2020-04-01,1397
2020-04-02,1398
2020-04-03,1398
2020-04-04,1509
2020-04-05,1531
2020-04-06,1455
2020-04-07,1358
2020-04-08,1700
2020-04-09,1551
2020-04-10,1612
2020-04-11,1678
2020-04-12,1669
2020-04-13,1491
2020-04-14,1444
2020-04-15,1590
2020-04-16,1475
2020-04-17,1544
2020-04-18,1707
2020-04-19,1692
2020-04-20,1455
2020-04-21,1463
2020-04-22,88
2020-04-23,0
2020-04-24,0
2020-04-25,1067
2020-04-26,1774
2020-04-27,1629
2020-04-28,1584
2020-04-29,1637
2020-04-30,1536
