date,interest
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,553
2020-02-12,1481
2020-02-13,1582
2020-02-14,1591
2020-02-15,1252
2020-02-16,1144
2020-02-17,1379
2020-02-18,1272
2020-02-19,1045
2020-02-20,1003
2020-02-21,1074
2020-02-22,1007
2020-02-23,1295
2020-02-24,1095
2020-02-25,0
2020-02-26,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,722
2020-03-18,1799
2020-03-19,1686
2020-03-20,1730
2020-03-21,1622
2020-03-22,1729
2020-03-23,1947
2020-03-24,1844
2020-03-25,1588
2020-03-26,1666
2020-03-27,1888
2020-03-28,1515
2020-03-29,1435
2020-03-30,1552
2020-03-31,1492
2020-04-01,1865
2020-04-02,1881
2020-04-03,1856
2020-04-04,1657
2020-04-05,1622
2020-04-06,1758
2020-04-07,1624
2020-04-08,1994
2020-04-09,1892
2020-04-10,1762
2020-04-11,1692
2020-04-12,1536
2020-04-13,1693
2020-04-14,1639
2020-04-15,2017
2020-04-16,1916
2020-04-17,1888
2020-04-18,1696
2020-04-19,1664
2020-04-20,1756
2020-04-21,1709
2020-04-22,82
2020-04-23,0
2020-04-24,267
2020-04-25,1890
2020-04-26,1858
2020-04-27,2055
2020-04-28,2015
2020-04-29,2166
2020-04-30,1994
