date,interest
2019-01-01,562
2019-01-02,1276
2019-01-03,1276
2019-01-04,1293
2019-01-05,1405
2019-01-06,1434
2019-01-07,1267
2019-01-08,933
2019-01-09,877
2019-01-10,838
2019-01-11,800
2019-01-12,866
2019-01-13,931
2019-01-14,965
2019-01-15,1439
2019-01-16,1356
2019-01-17,1399
2019-01-18,1426
2019-01-19,1544
2019-01-20,1584
2019-01-21,1523
2019-01-22,1399
2019-01-23,1296
2019-01-24,1322
2019-01-25,1256
2019-01-26,1249
2019-01-27,1443
2019-01-28,1321
2019-01-29,1390
2019-01-30,1171
2019-01-31,1284
2019-02-01,1240
2019-02-02,1300
2019-02-03,813
2019-02-04,665
2019-02-05,1346
2019-02-06,1305
2019-02-07,1334
2019-02-08,1287
2019-02-09,1337
2019-02-10,1442
2019-02-11,1353
2019-02-12,106
2019-02-13,14
2019-02-14,14
2019-02-15,53
2019-02-16,1220
2019-02-17,1322
2019-02-18,694
2019-02-19,1221
2019-02-20,613
2019-02-21,338
2019-02-22,255
2019-02-23,235
2019-02-24,181
2019-02-25,121
2019-02-26,1740
2019-02-27,1505
2019-02-28,1277
2019-03-01,1162
2019-03-02,1053
2019-03-03,1031
2019-03-04,858
2019-03-05,1640
2019-03-06,1622
2019-03-07,1628
2019-03-08,1618
2019-03-09,1665
2019-03-10,1658
2019-03-11,1552
2019-03-12,1485
2019-03-13,1354
2019-03-14,1375
2019-03-15,1390
2019-03-16,1469
2019-03-17,1584
2019-03-18,1476
2019-03-19,1503
2019-03-20,1404
2019-03-21,1455
2019-03-22,1436
2019-03-23,1459
2019-03-24,1519
2019-03-25,1434
2019-03-26,571
2019-03-27,704
2019-03-28,477
2019-03-29,468
2019-03-30,482
2019-03-31,541
2019-04-01,529
2019-04-02,1353
2019-04-03,1142
2019-04-04,1220
2019-04-05,1186
2019-04-06,1182
2019-04-07,1288
2019-04-08,1156
2019-04-09,1635
2019-04-10,1485
2019-04-11,1530
2019-04-12,1470
2019-04-13,1513
2019-04-14,1721
2019-04-15,1438
2019-04-16,1359
2019-04-17,1341
2019-04-18,1338
2019-04-19,1360
2019-04-20,1573
2019-04-21,1496
2019-04-22,1388
2019-04-23,1495
2019-04-24,1385
2019-04-25,1403
2019-04-26,1420
2019-04-27,1514
2019-04-28,1641
2019-04-29,1449
2019-04-30,1545
2019-05-01,1473
2019-05-02,1470
2019-05-03,1416
2019-05-04,1399
2019-05-05,1573
2019-05-06,1389
2019-05-07,1305
2019-05-08,1247
2019-05-09,1270
2019-05-10,1220
2019-05-11,1272
2019-05-12,1354
2019-05-13,1294
2019-05-14,1477
2019-05-15,1329
2019-05-16,1352
2019-05-17,1293
2019-05-18,1393
2019-05-19,1590
2019-05-20,1326
2019-05-21,1026
2019-05-22,1118
2019-05-23,1097
2019-05-24,1244
2019-05-25,1224
2019-05-26,1227
2019-05-27,1071
2019-05-28,1375
2019-05-29,1284
2019-05-30,1296
2019-05-31,1252
2019-06-01,1311
2019-06-02,1463
2019-06-03,1261
2019-06-04,1448
2019-06-05,1307
2019-06-06,1252
2019-06-07,1268
2019-06-08,1313
2019-06-09,1452
2019-06-10,1183
2019-06-11,1222
2019-06-12,1253
2019-06-13,1195
2019-06-14,1188
2019-06-15,1254
2019-06-16,1497
2019-06-17,1264
2019-06-18,1435
2019-06-19,1318
2019-06-20,1342
2019-06-21,1321
2019-06-22,1372
2019-06-23,1535
2019-06-24,1314
2019-06-25,1486
2019-06-26,1395
2019-06-27,1390
2019-06-28,1315
2019-06-29,1436
2019-06-30,1606
2019-07-01,1388
2019-07-02,1429
2019-07-03,1337
2019-07-04,1309
2019-07-05,1318
2019-07-06,1450
2019-07-07,1584
2019-07-08,1390
2019-07-09,1099
2019-07-10,1017
2019-07-11,1026
2019-07-12,1015
2019-07-13,1042
2019-07-14,1132
2019-07-15,1097
2019-07-16,1383
2019-07-17,1263
2019-07-18,1263
2019-07-19,1257
2019-07-20,1374
2019-07-21,1468
2019-07-22,1271
2019-07-23,1197
2019-07-24,1084
2019-07-25,1166
2019-07-26,1111
2019-07-27,1174
2019-07-28,1372
2019-07-29,1140
2019-07-30,1340
2019-07-31,1301
2019-08-01,1276
2019-08-02,1262
2019-08-03,1324
2019-08-04,1656
2019-08-05,1333
2019-08-06,1265
2019-08-07,1202
2019-08-08,1188
2019-08-09,1237
2019-08-10,1287
2019-08-11,1456
2019-08-12,1229
2019-08-13,967
2019-08-14,919
2019-08-15,905
2019-08-16,907
2019-08-17,1036
2019-08-18,1548
2019-08-19,1460
2019-08-20,1627
2019-08-21,1459
2019-08-22,1364
2019-08-23,1357
2019-08-24,1368
2019-08-25,1490
2019-08-26,1434
2019-08-27,1520
2019-08-28,1393
2019-08-29,1368
2019-08-30,1512
2019-08-31,1517
2019-09-01,1605
2019-09-02,1530
2019-09-03,1497
2019-09-04,1381
2019-09-05,1347
2019-09-06,1413
2019-09-07,1648
2019-09-08,1743
2019-09-09,1406
2019-09-10,1537
2019-09-11,1376
2019-09-12,1398
2019-09-13,1404
2019-09-14,1525
2019-09-15,1718
2019-09-16,1445
2019-09-17,1414
2019-09-18,1300
2019-09-19,1252
2019-09-20,1304
2019-09-21,1431
2019-09-22,1545
2019-09-23,1523
2019-09-24,1356
2019-09-25,1190
2019-09-26,1188
2019-09-27,1242
2019-09-28,1274
2019-09-29,1488
2019-09-30,1267
2019-10-01,911
2019-10-02,798
2019-10-03,754
2019-10-04,728
2019-10-05,820
2019-10-06,880
2019-10-07,781
2019-10-08,1448
2019-10-09,1464
2019-10-10,1392
2019-10-11,1379
2019-10-12,1418
2019-10-13,1589
2019-10-14,1414
2019-10-15,1443
2019-10-16,1331
2019-10-17,1354
2019-10-18,1335
2019-10-19,1389
2019-10-20,1717
2019-10-21,1476
2019-10-22,1608
2019-10-23,1504
2019-10-24,1495
2019-10-25,1447
2019-10-26,1537
2019-10-27,1640
2019-10-28,1483
2019-10-29,1335
2019-10-30,1267
2019-10-31,1307
2019-11-01,1262
2019-11-02,1329
2019-11-03,1400
2019-11-04,1248
2019-11-05,1369
2019-11-06,1333
2019-11-07,1354
2019-11-08,1358
2019-11-09,1415
2019-11-10,1589
2019-11-11,1393
2019-11-12,1439
2019-11-13,1374
2019-11-14,1342
2019-11-15,1439
2019-11-16,1482
2019-11-17,1669
2019-11-18,1438
2019-11-19,1290
2019-11-20,1159
2019-11-21,1177
2019-11-22,1151
2019-11-23,1213
2019-11-24,1394
2019-11-25,1165
2019-11-26,1243
2019-11-27,1143
2019-11-28,1095
2019-11-29,1124
2019-11-30,1253
2019-12-01,1428
2019-12-02,1218
2019-12-03,1222
2019-12-04,1236
2019-12-05,1265
2019-12-06,1254
2019-12-07,1283
2019-12-08,1696
2019-12-09,1398
2019-12-10,1366
2019-12-11,1371
2019-12-12,1402
2019-12-13,1408
2019-12-14,1470
2019-12-15,1536
2019-12-16,1385
2019-12-17,1281
2019-12-18,1244
2019-12-19,1207
2019-12-20,1298
2019-12-21,1301
2019-12-22,1307
2019-12-23,1303
2019-12-24,1113
2019-12-25,820
2019-12-26,1124
2019-12-27,1371
2019-12-28,1282
2019-12-29,1599
2019-12-30,1304
2019-12-31,1239
2020-01-01,789
2020-01-02,1291
2020-01-03,1285
2020-01-04,1390
2020-01-05,1515
2020-01-06,1205
2020-01-07,1205
2020-01-08,1190
2020-01-09,1196
2020-01-10,1259
2020-01-11,1295
2020-01-12,1511
2020-01-13,1352
2020-01-14,1226
2020-01-15,1223
2020-01-16,1266
2020-01-17,1387
2020-01-18,1352
2020-01-19,1386
2020-01-20,1340
2020-01-21,1124
2020-01-22,1127
2020-01-23,1106
2020-01-24,1116
2020-01-25,1203
2020-01-26,1200
2020-01-27,1167
2020-01-28,1036
2020-01-29,1024
2020-01-30,1008
2020-01-31,991
2020-02-01,1055
2020-02-02,1390
2020-02-03,1113
2020-02-04,1116
2020-02-05,1172
2020-02-06,1303
2020-02-07,1331
2020-02-08,1511
2020-02-09,1404
2020-02-10,1169
2020-02-11,1209
2020-02-12,1153
2020-02-13,1288
2020-02-14,1199
2020-02-15,1211
2020-02-16,1468
2020-02-17,1564
2020-02-18,1425
2020-02-19,1295
2020-02-20,1236
2020-02-21,1312
2020-02-22,1326
2020-02-23,1556
2020-02-24,660
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-15,0
2020-03-16,0
2020-03-17,577
2020-03-18,1354
2020-03-19,1239
2020-03-20,1182
2020-03-21,1169
2020-03-22,1536
2020-03-23,1142
2020-03-24,1003
2020-03-25,858
2020-03-26,780
2020-03-27,743
2020-03-28,770
2020-03-29,1372
2020-03-30,1210
2020-03-31,1264
2020-04-01,1353
2020-04-02,1300
2020-04-03,1258
2020-04-04,1314
2020-04-05,1542
2020-04-06,1176
2020-04-07,1117
2020-04-08,1135
2020-04-09,1081
2020-04-10,999
2020-04-11,940
2020-04-12,1500
2020-04-13,1382
2020-04-14,1358
2020-04-15,1395
2020-04-16,1348
2020-04-17,1268
2020-04-18,1231
2020-04-19,70
2020-04-20,0
2020-04-21,0
2020-04-22,1047
2020-04-23,1354
2020-04-24,1244
2020-04-25,1218
2020-04-26,1558
2020-04-27,1322
2020-04-28,1365
2020-04-29,1354
2020-04-30,1301
